topic_id,size,label,top_words
0,129,0_ship_captain_sinking_change,ship captain sinking change time playing metaphor pretending stop maybe
1,88,1_bostrom_machines_nick_nick bostrom,bostrom machines nick nick bostrom talk smarter values computers smart ted
2,74,2_toronto_app_development_company,toronto app development company developers best app developers software development development company developers toronto
3,57,3_coding_vibe_vibe coding_assistants,coding vibe vibe coding assistants future embracing coding assistants embracing vibe learning coding future
4,54,4_trial_companies_wage_collusion,trial companies wage collusion wages adobe intel adobe giants tech apple
5,51,5_media_liberal_liberal media_bias,media liberal liberal media bias media bias combating exposing newsbusters combating liberal america
6,32,6_nasa_need_space_energy,nasa need space energy people sls really world solar infinity
7,31,7_microsoft_tech_tiktok_data,microsoft tech tiktok data palantir time companies gonna big tech trump
8,25,8_privacy_security_mcafee_data,privacy security mcafee data proton article search encryption anonymity transparency
9,23,9_libreoffice_software_opensource_microsoft,libreoffice software opensource microsoft diversity inclusion trying needs inclusion users mozilla
10,22,10_shallow_conviction_water_critical,shallow conviction water critical shallowness political calling red elephants elephants endchan
11,22,11_tech_data_digital_microsoft,tech data digital microsoft think know right fucking ads mean
12,20,12_tech_games_virtual_wifi,tech games virtual wifi servo gabe newell newell gabe roadmap day
13,20,13_security_data_digital_privacy,security data digital privacy article need think thing trying internet
14,17,14_project veritas_veritas_project_soy,project veritas veritas project soy soy latte latte armchair openra card unlike armchair
15,17,15_privacy_simp_le_security_data,privacy simp_le security data tech digital sounds make browser privacy security
16,15,16_bostrom_machines_values_talk,bostrom machines values talk humans nick bostrom nick smart gonna human
